45691_HSA010770 59749 62136
45691_HSA010770 71330 71543
45691_HSA010770 73150 73229
45691_HSA010770 75030 75168
45691_HSA010770 75918 76003
45691_HSA010770 81139 81253
45691_HSA010770 81715 81910
45691_HSA010770 88796 88892
45691_HSA010770 90413 90505
45691_HSA010770 97320 97673
45691_HSA010770 99575 99799
45691_HSA010770 100947 101087
45691_HSA010770 101569 101672
45691_HSA010770 103909 104114
45691_HSA010770 111627 111859
45691_HSA010770 120161 120323
45691_HSA010770 121175 121387
45691_HSA010770 124132 124364
45691_HSA010770 125328 125447
45691_HSA010770 128931 129107
45691_HSA010770 129806 129910
45691_HSA010770 135756 135908
45691_HSA010770 136597 136776
45691_HSA010770 137980 139053
45691_HSA010770 141423 141563
45691_HSA010770 142071 142596
45691_HSA010770 143720 143841
45691_HSA010770 144396 144587
45691_HSA010770 145129 145317
45691_HSA010770 148286 148430
45691_HSA010770 151998 152217
45691_HSA010770 153924 154074
45691_HSA010770 155590 156258
45691_HSA010770 156487 156695
45691_HSA010770 157010 157115
45691_HSA010770 158588 158770
45691_HSA010770 159757 159957
45691_HSA010770 161495 161727
45691_HSA010770 164579 164664
45691_HSA010770 166194 166323
45691_HSA010770 167395 167534
45691_HSA010770 169023 169060


45693_HSA011098 1 110
45693_HSA011098 357 750








45704_HSA16792 1 459
45704_HSA16792 1140 1222
45704_HSA16792 1465 1621
45704_HSA16792 2128 2289
45704_HSA16792 2389 2514
45704_HSA16792 2695 2915
45704_HSA16792 3294 3489


45710_HSA224639 1 123
45710_HSA224639 1406 1486
45710_HSA224639 2324 2532
45710_HSA224639 4969 5158


45712_HSA224868 1 1165
45712_HSA224868 1386 1476
45712_HSA224868 1979 2045

45715_HSA225085 1 73
45715_HSA225085 2429 2542

45720_HSA6976 1 4
45720_HSA6976 8590 8776
45720_HSA6976 9473 9734
45720_HSA6976 10805 10973
45720_HSA6976 11444 11517
45720_HSA6976 12337 12402
45720_HSA6976 13532 13603




45733_HSACTH 1 132
45733_HSACTH 3019 3690

45738_HSAFL12 1 102
45738_HSAFL12 263 409






45748_HSAJ03147 1 250
45748_HSAJ03147 835 923
45748_HSAJ03147 1212 1335
45748_HSAJ03147 9143 9864




45754_HSAJ1910 1 94
45754_HSAJ1910 412 476
45754_HSAJ1910 957 1073
45754_HSAJ1910 1742 1796
45754_HSAJ1910 2313 2373
45754_HSAJ1910 3315 3397


45766_HSAJ3111 1 72
45766_HSAJ3111 181 221



45775_HSALADG 1 113
45775_HSALADG 1391 1441
45775_HSALADG 1937 2033
45775_HSALADG 2626 2761
45775_HSALADG 2882 2965
45775_HSALADG 3065 3153
45775_HSALADG 3730 3785
45775_HSALADG 3871 3958
45775_HSALADG 4033 4119
45775_HSALADG 4451 4580
45775_HSALADG 5193 5254



45778_HSALDOA 1 112
45778_HSALDOA 197 408
45778_HSALDOA 1393 1447
45778_HSALDOA 1562 1722
45778_HSALDOA 2047 2130
45778_HSALDOA 2239 2413
45778_HSALDOA 2567 2766
45778_HSALDOA 2854 2949

45779_HSALL1GEN 1 379
45779_HSALL1GEN 709 782
45779_HSALL1GEN 2461 2592
45779_HSALL1GEN 3140 3253
45779_HSALL1GEN 6884 7030
45779_HSALL1GEN 8061 8156
45779_HSALL1GEN 8398 8518
45779_HSALL1GEN 9273 9395


45784_HSANFPRE 1 48
45784_HSANFPRE 171 497
45784_HSANFPRE 1591 1593




45795_HSAPOA2B 1 52
45795_HSAPOA2B 346 478
45795_HSAPOA2B 874 991






45803_HSARS81S 1 58
45803_HSARS81S 464 583
45803_HSARS81S 1110 1243

45805_HSARYLA 1 218
45805_HSARYLA 368 608
45805_HSARYLA 723 941
45805_HSARYLA 1016 1185
45805_HSARYLA 1498 1622
45805_HSARYLA 1713 1840
45805_HSARYLA 2091 2193
45805_HSARYLA 2309 2628


45807_HSAT3 1 41
45807_HSAT3 2340 2706
45807_HSAT3 5239 5454
45807_HSAT3 6360 6497
45807_HSAT3 7308 7698
45807_HSAT3 9732 9796
45807_HSAT3 13171 13347

45811_HSATPCP1 1 39
45811_HSATPCP1 955 1032
45811_HSATPCP1 1739 1917
45811_HSATPCP1 2238 2352

45812_HSATPCP2 1 39
45812_HSATPCP2 2667 2744
45812_HSATPCP2 3274 3467
45812_HSATPCP2 7191 7305

45814_HSB100AI 1 54
45814_HSB100AI 989 1048

45815_HSB100BI 1 56
45815_HSB100BI 165 213

45816_HSB100CI 1 55
45816_HSB100CI 459 511

45817_HSB100DI 1 55
45817_HSB100DI 564 628



45826_HSBARED 1 32
45826_HSBARED 1058 1079

45827_HSBARED 1 32
45827_HSBARED 796 835



45831_HSBGPG 1 64
45831_HSBGPG 322 354
45831_HSBGPG 531 600
45831_HSBGPG 802 931

45839_HSBSF2 1 19
45839_HSBSF2 174 364
45839_HSBSF2 1412 1525
45839_HSBSF2 2232 2378
45839_HSBSF2 4120 4287

45841_HSC1INHIB 1 51
45841_HSC1INHIB 1610 2108
45841_HSC1INHIB 3765 3899
45841_HSC1INHIB 7739 7942
45841_HSC1INHIB 8137 8276
45841_HSC1INHIB 13445 13664
45841_HSC1INHIB 16056 16309

45846_HSCAII 1 34
45846_HSCAII 1185 1382

45847_HSCALCAC 1 86
45847_HSCALCAC 1117 1257
45847_HSCALCAC 3339 3498


45853_HSCBMYHC 1 201
45853_HSCBMYHC 504 647
45853_HSCBMYHC 935 1091
45853_HSCBMYHC 1223 1250
45853_HSCBMYHC 1852 1960
45853_HSCBMYHC 2043 2135
45853_HSCBMYHC 2237 2300
45853_HSCBMYHC 2754 2852
45853_HSCBMYHC 3070 3173
45853_HSCBMYHC 3822 3960
45853_HSCBMYHC 4386 4504
45853_HSCBMYHC 4631 4780
45853_HSCBMYHC 5062 5232
45853_HSCBMYHC 5827 6136
45853_HSCBMYHC 6416 6483
45853_HSCBMYHC 6858 6945
45853_HSCBMYHC 7644 7761
45853_HSCBMYHC 7910 8033
45853_HSCBMYHC 8299 8435
45853_HSCBMYHC 8693 8948
45853_HSCBMYHC 9574 9816
45853_HSCBMYHC 10001 10177
45853_HSCBMYHC 11361 11506
